Lemma;Sagedus
mot;1
moka;1
mobiiltelefon;1
missioon;1
ministeerium;1
milline;1
milj;1
miilits;1
memorandum;1
mehaaniliselt;1
meelitama;1
meeldiv;1
meeldima;1
meel;1
mart;1
maksumuudatus;1
majandus;1
majandama;1
majakaskuidas;1
maha;1
madalam;1
maas;1
maapiirkond;1
maainimene;1
maailm;1
loomine;1
loogiline;1
loogika;1
looge;1
loobuma;1
lont;1
lollus;1
liug;1
little;1
linnavalitsus;1
liin;1
liikuma;1
liigutamine;1
liigutama;1
liigne;1
lihtsam;1
lihtne;1
liha;1
liberaal;1
lendleht;1
leidakse;1
lehmakasvataja;1
lehm;1
legaliseerime;1
leedukas;1
lause;1
late;1
laskma;1
laiendamine;1
laiama;1
lahkuma;1
lahendus;1
lahendamine;1
lagi;1
laevaehitustehas;1
laevaehitamine;1
la;1
kuus;1
kuulama;1
kuskohast;1
kuskil;1
kurss;1
kuri;1
kuresaar;1
kunstlikult;1
kuna;1
kulutus;1
kulutama;1
kuluma;1
kuld;1
kujutama;1
kubisema;1
kristallkuul;1
kordama;1
kord;1
korb;1
koondama;1
koomale;1
kontor;1
kompetents;1
kommentaar;1
kolmveerand;1
kolmandik;1
kollasekaart;1
kollane;1
kolitav;1
kolimisminister;1
kolimisministeerium;1
kokkuhoid;1
kohustama;1
kohta;1
kohaleviimine;1
kohale;1
kodanikupalk;1
kobarseadus;1
kobarsaade;1
koalitsioon;1
kirglikumalt;1
kirglik;1
kinnistu;1
kinnisasi;1
kindel;1
kiiresti;1
kihv;1
kess;1
kesktee;1
keskriik;1
keskmine;1
keskerakond;1
keskel;1
kesik;1
keerama;1
keeld;1
kaugendama;1
kaugel;1
katkestama;1
katastroof;1
kasutama;1
karup;1
kartma;1
kapp;1
kapo;1
kaotama;1
kantora;1
kandidaat;1
kampaanialik;1
kampaania;1
kallis;1
kaks;1
kaitsma;1
kaine;1
kahtlemata;1
kahjur;1
kahepalgeline;1
kagueest;1
kaev;1
kadett;1
kaasnev;1
kaaluma;1
juurde;1
justkui;1
jumal;1
julgestama;1
julgeolekuspets;1
joppenpuhh;1
jooksul;1
joogi;1
jm;1
jauramine;1
jaguma;1
issand;1
isik;1
iseseisvus;1
integratsioon;1
infra;1
imekspandav;1
ilma;1
ilm;1
ikkagi;1
igatsema;1
idut;1
idavirus;1
idapiir;1
idaeesti;1
ida;1
huvitavam;1
huvitama;1
hulk;1
hulga;1
hotell;1
hooliv;1
hoolimata;1
homoabielu;1
homme;1
hilja;1
harukordne;1
hardcorelt;1
hanno;1
hakatud;1
hajutamine;1
haigekassa;1
haanja;1
h;1
geograafiliselt;1
formaat;1
etv;1
ettekujutus;1
esi;1
eriti;1
eriik;1
erasektor;1
eraldi;1
eraldamine;1
erakond;1
enno;1
ennem;1
enne;1
endiselt;1
emta;1
emigratsioon;1
eldan;1
elanik;1
eile;1
eestistamine;1
eestil;1
eestikeelne;1
eelmine;1
eelmainitud;1
eeldama;1
edasitagasi;1
edasine;1
edasi;1
detsentraliseerimine;1
demograafiliselt;1
dela;1
d;1
buss;1
boonus;1
blondilik;1
bensiinikulu;1
avaldus;1
ausammas;1
ausam;1
asutamine;1
asendustegevus;1
asemel;1
arvestama;1
arvamus;1
arv;1
arutelu;1
arukas;1
arrogants;1
argumenteerima;1
arengukava;1
areng;1
arenema;1
arendus;1
arendamine;1
arendama;1
aps;1
appi;1
ametikoht;1
alluvussuhe;1
alles;1
alla;1
all;1
algul;1
alati;1
ala;1
aktiivsus;1
akadeemia;1
ainult;1
aiamaa;1
aegu;1
abjapaluojja;1
abikaasa;1
abi;1
aastakaks;1
