aga
ehk
ei
et
iga
ikka
ise
ja
ju
ka
kas
keegi
kes
kui
kuidas
kõik
mina
mis
miski
nii
olema
oma
pidama
saama
sama
seal
see
siis
sina
tema
tulema
vaid
veel
võima
välja
ära
üks
üle
ning
ega
nagu
sest
minema
tulema
tegema
teine
