text;favorited;created
Mida kirglikumalt Reinsalu täna saates sõna võtab, seda raskem on tal järgmises valitsuses vastupidist kurssi selgitada.  #etvfoorum;FALSE;21.02.2017 18:49
Valmistades ette ühe riigiasutuse Tallinnast välja viimist- see on tegelikult tehtav ning see võimaldab asutuse taassündi. #etvfoorum;FALSE;21.02.2017 18:49
"Ikkagi vaid asendustegevus tegelike regionaal- ja sotsiaalprobleemide lahendamisel. ""Dela idut, kantora pišet."" #etvfoorum";FALSE;21.02.2017 18:49
#etvfoorum Tahate regionaliseerimist? Taastame kitsarööpalise raudtee.;FALSE;21.02.2017 18:49
@MartinHelme on vist suur fänn Jüri Mõisa ideele kogu Eesti kulude kokkuhoiuks Tallinnasse kokku kolida #etvfoorum;FALSE;21.02.2017 18:48
Too little, too late. Liiga vähe ja liiga hilja, emigratsiooni enam tagasi ei pööra ega peata. #etvfoorum;FALSE;21.02.2017 18:48
Kahjurid hävitavad  oma kolimisplaanidega lihtsalt järjepidevust ja võimekust. Et saajks aga rohkem ülalt alla kõigile pähe lasta,#etvfoorum;FALSE;21.02.2017 18:48
Reinsalu annab küll täna päris hardcorelt Helmele taha. #koos #etvfoorum;FALSE;21.02.2017 18:48
#etvfoorum  Meil on omavalitsusi, kus 2/3 töökohtadest juba on avalikus sektoris. Kuhu veel!? Suunake nad ettevõtlusesse ja aidake kaasa!;FALSE;21.02.2017 18:47
Riigiasutused ei too maapiirkonda õitsengut. Erasektor toob. Looge infrat, võimalusi. Siis asi areneb. #etvfoorum;FALSE;21.02.2017 18:47
Emta kolimine Narva pole paha! #etvfoorum;FALSE;21.02.2017 18:47
Kulla Reinsalu,sinu soolo on tekitanud olukorra kus selle asemel et valdkonda arendada peame hoopis treima sulle vastuargumente #etvfoorum;FALSE;21.02.2017 18:47
Sellise mõtlemisega, mis on osadel poliitikutel, ei oleks kunagi tootma hakatud mobiiltelefone. #etvfoorum;FALSE;21.02.2017 18:47
valitsus peab ju pakkuma rahvale tegevust #etvfoorum;FALSE;21.02.2017 18:47
"Oleks huvitav teada millise ""sponsori"" huve see kolimine teenib? #etvfoorum";FALSE;21.02.2017 18:46
Narvamisfestival #etvfoorum;FALSE;21.02.2017 18:46
Jagame riigi Eestis laiali, loome veel rohkem riiki töökohti ja mõtleme välja uusi makse. Hea plaan majanduskasvuks. #etvfoorum;FALSE;21.02.2017 18:45
Tarmo Tamm on robot, kes kordab lõputult ühte ja sama lõiku? #etvfoorum;FALSE;21.02.2017 18:45
Muudame lihtsalt muutmise pärast, teeme teisiti! #etvfoorum;FALSE;21.02.2017 18:45
Enno Tamm unustab, et valijate Tallinnast äraviimine võib demograafiliselt Tallinna võtmeringkondades valimistel tagasilöögi anda #etvfoorum;FALSE;21.02.2017 18:45
Issand jumal! Helme kaitseb tele-eetris väikelinnade ettevõtjate võimalust inimestele väikest palka maksta! #etvfoorum;FALSE;21.02.2017 18:45
3 tundi sinna, 3 tundi tagasi - kuus tundi kulunud. Veerand elu ratastel. Mõtle kah ennem kui ütled. @einasto #etvfoorum;FALSE;21.02.2017 18:45
"RT @KevinTammearu: Reinsalu: ""Me ehitame maja, mis hakkab NENDELE venelastele seal eesti keelt õpetama!"" #etvfoorum";FALSE;21.02.2017 18:44
Kogu see kolimine näib olevat võitlemine pseudoprobleemidega. #etvfoorum;FALSE;21.02.2017 18:44
#etvfoorum Aga Võrus on laevaehitamise tehas. Võib ka Paidesse teha.;FALSE;21.02.2017 18:44
Arvestades politseinike väikest palka, on imekspandav, et antud koolil veel piisavalt sisseastujaid on. #etvfoorum;FALSE;21.02.2017 18:43
Teeme midagi, et jääks mulje, et me teeme midagi. Keskmine tööpäev. #etvfoorum;FALSE;21.02.2017 18:43
"""Kolime kõik kuhugi!"" on uus ""Legaliseerime homoabielud!"" et kõigil oleks jõukohane teema jauramiseks. A mis tegelt toimub? #etvfoorum";FALSE;21.02.2017 18:43
#etvfoorum Huvitav kas see kolimine ka päriselt toimub;FALSE;21.02.2017 18:43
Kui pool Eestit käib igal nädalal Tallinnasse tööle, pole see probleem. Aga Tallinnast Eestisse tööle käimine on katastroof #etvfoorum;FALSE;21.02.2017 18:42
Saadaks Valitsuse Ruhnu saarele. Hea rahulik neil seal olla. :)  #etvfoorum;FALSE;21.02.2017 18:42
Tallinna Lennujaam viia Paidesse, Tallinna Sadam viia Valka! #etvfoorum;FALSE;21.02.2017 18:42
toome parem kõik tallinnasse tagasi ja teeme tallinna riigi #etvfoorum;FALSE;21.02.2017 18:42
"Kui kaugtööd saab teha #Vastseliina v #Haanja suunalt Tallinnasse, siis on kindel, et saab ka Tallinnast Vastseliina v Haanjasse
#etvfoorum";FALSE;21.02.2017 18:42
Pealinn peaks olema riigi keskel. Nii oleks palju ausam ja lihtsam riiki majandada :) #etvfoorum;FALSE;21.02.2017 18:42
Aga äkki soodustaks kaugtööd, mitte ei koliks betooni? #winwin #kaugtöö #etvfoorum;FALSE;21.02.2017 18:41
SKA olgu seal, kus ta on! Panustaks parem siseturvalisuse spetsialistide arengu peale. Puhas võit 10-15 aastat. #etvfoorum;FALSE;21.02.2017 18:41
